Customer	Fleet	Vehicle Name	VIN	Vehicle Type	Vehicle Group	Axle	Tyre position	Sensor ID	Sensor Type	Tyre Brand	Tyre Size	Tyre Model	Retread	DOT	Mounted On	Odometer	Last Seen	Last Measured	Temperature	Temperature Unit	Battery	Signal	Gateway	Firmware	Hub	Trailer	Driver	Depot	Region	Country	Notes	Ticket	Created	Updated	Source	Status	Severity	Cold inflation pressure	Pressure deviation	Compensated Pressure	Pressure Unit	Pressure (non-compensated)
The Allen Company	Haul Division	DT 898		Truck		2	2L	C100035	Gen2		11R24.5							2026-09-08 06:14	75	F	95%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 865		Truck		3	3RO	C100036	Gen2		11R24.5							2026-09-08 06:14	76	F	96%														ContiConnect	Low pressure	Medium	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT 865		Truck		3	3RI	C100037	Gen2		11R24.5							2026-09-08 06:14	77	F	97%														ContiConnect	No alerts	None	110.0		121.0	psi	119.0
The Allen Company	Haul Division	DT 865		Truck		3	3LI	C100038	Gen2		11R24.5							2026-09-08 06:14	78	F	98%														ContiConnect	No alerts	None	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT 865		Truck		1	1L	C100039	Gen2		11R24.5							2026-09-08 06:14	79	F	99%														ContiConnect	Very low pressure	High	110.0		91.0	psi	89.0
The Allen Company	Haul Division	DT 865		Truck		4	4RO	C100040	Gen2		11R24.5							2026-09-08 06:14	80	F	60%														ContiConnect	Low pressure	Medium	110.0		108.0	psi	106.0
The Allen Company	Haul Division	DT 865		Truck		3	3LO	C100041	Gen2		11R24.5							2026-09-08 06:14	81	F	61%														ContiConnect	Low pressure	Medium	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 865		Truck		1	1R	C100042	Gen2		11R24.5							2026-09-08 06:14	82	F	62%														ContiConnect	Low pressure	Medium	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT 865		Truck		2	2R	C100043	Gen2		11R24.5							2026-09-08 06:14	83	F	63%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 865		Truck		4	4LO	C100044	Gen2		11R24.5							2026-09-08 06:14	84	F	64%														ContiConnect	Multiple alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 865		Truck		2	2L	C100045	Gen2		11R24.5							2026-09-08 06:14	85	F	65%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 865		Truck		4	4RI	C100046	Gen2		11R24.5							2026-09-08 06:14	86	F	66%														ContiConnect	Very low pressure	High	110.0		2.0	psi	0.0
The Allen Company	Haul Division	DT 865		Truck		4	4LI	C100047	Gen2		11R24.5							2026-09-08 06:14	87	F	67%														ContiConnect	Low pressure	Medium	110.0		102.0	psi	100.0
The Allen Company	Haul Division	DT 889		Truck		4	4RI	C100048	Gen2		11R24.5							2026-09-08 06:14	88	F	68%														ContiConnect	Very low pressure	High	110.0		93.0	psi	91.0
The Allen Company	Haul Division	DT 889		Truck		3	3RO	C100049	Gen2		11R24.5							2026-09-08 06:14	89	F	69%														ContiConnect	Multiple alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		1	1L	C100050	Gen2		11R24.5							2026-09-08 06:14	90	F	70%														ContiConnect	Low pressure	Medium	110.0		103.0	psi	101.0
The Allen Company	Haul Division	DT 889		Truck		4	4LO	C100051	Gen2		11R24.5							2026-09-08 06:14	91	F	71%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		1	1R	C100052	Gen2		11R24.5							2026-09-08 06:14	92	F	72%														ContiConnect	Very low pressure	High	110.0		68.0	psi	66.0
The Allen Company	Haul Division	DT 889		Truck		4	4LI	C100053	Gen2		11R24.5							2026-09-08 06:14	93	F	73%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		4	4RO	C100054	Gen2		11R24.5							2026-09-08 06:14	94	F	74%														ContiConnect	Multiple alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		2	2R	C100055	Gen2		11R24.5							2026-09-08 06:14	95	F	75%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		2	2L	C100056	Gen2		11R24.5							2026-09-08 06:14	96	F	76%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		3	3RI	C100057	Gen2		11R24.5							2026-09-08 06:14	97	F	77%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 889		Truck		3	3LI	C100058	Gen2		11R24.5							2026-09-08 06:14	98	F	78%														ContiConnect	Low pressure	Medium	110.0		101.0	psi	99.0
The Allen Company	Haul Division	DT 889		Truck		3	3LO	C100059	Gen2		11R24.5							2026-09-08 06:14	99	F	79%														ContiConnect	Low pressure	Medium	110.0		95.0	psi	93.0
The Allen Company	Haul Division	DT 884		Truck		2	2L	C100060	Gen2		11R24.5							2026-09-08 06:14	70	F	80%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 884		Truck		3	3LO	C100061	Gen2		11R24.5							2026-09-08 06:14	71	F	81%														ContiConnect	Very low pressure	High	110.0		87.0	psi	85.0
The Allen Company	Haul Division	DT 884		Truck		3	3RO	C100062	Gen2		11R24.5							2026-09-08 06:14	72	F	82%														ContiConnect	Very low pressure	High	110.0		89.0	psi	87.0
The Allen Company	Haul Division	DT 884		Truck		4	4LI	C100063	Gen2		11R24.5							2026-09-08 06:14	73	F	83%														ContiConnect	Low pressure	Medium	110.0		102.0	psi	100.0
The Allen Company	Haul Division	DT 884		Truck		4	4RO	C100064	Gen2		11R24.5							2026-09-08 06:14	74	F	84%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 884		Truck		3	3RI	C100065	Gen2		11R24.5							2026-09-08 06:14	75	F	85%														ContiConnect	Low pressure	Medium	110.0		93.0	psi	91.0
The Allen Company	Haul Division	DT 884		Truck		3	3LI	C100066	Gen2		11R24.5							2026-09-08 06:14	76	F	86%														ContiConnect	Very low pressure	High	110.0		86.0	psi	84.0
The Allen Company	Haul Division	DT 884		Truck		4	4RI	C100067	Gen2		11R24.5							2026-09-08 06:14	77	F	87%														ContiConnect	Low pressure	Medium	110.0		102.0	psi	100.0
The Allen Company	Haul Division	DT 884		Truck		1	1R	C100068	Gen2		11R24.5							2026-09-08 06:14	78	F	88%														ContiConnect	Very low pressure	High	110.0		82.0	psi	80.0
The Allen Company	Haul Division	DT 884		Truck		2	2R	C100069	Gen2		11R24.5							2026-09-08 06:14	79	F	89%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 884		Truck		4	4LO	C100070	Gen2		11R24.5							2026-09-08 06:14	80	F	90%														ContiConnect	Very low pressure	High	110.0		2.0	psi	0.0
The Allen Company	Haul Division	DT 884		Truck		1	1L	C100071	Gen2		11R24.5							2026-09-08 06:14	81	F	91%														ContiConnect	Low pressure	Medium	110.0		94.0	psi	92.0
The Allen Company	Haul Division	DT 890		Truck		1	1R	C100072	Gen2		11R24.5							2026-09-08 06:14	82	F	92%														ContiConnect	No alerts	None	110.0		108.0	psi	106.0
The Allen Company	Haul Division	DT 890		Truck		4	4RO	C100073	Gen2		11R24.5							2026-09-08 06:14	83	F	93%														ContiConnect	Very low pressure	High	110.0		85.0	psi	83.0
The Allen Company	Haul Division	DT 890		Truck		2	2R	C100074	Gen2		11R24.5							2026-09-08 06:14	84	F	94%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 890		Truck		4	4LO	C100075	Gen2		11R24.5							2026-09-08 06:14	85	F	95%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 890		Truck		2	2L	C100076	Gen2		11R24.5							2026-09-08 06:14	86	F	96%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 890		Truck		3	3LO	C100077	Gen2		11R24.5							2026-09-08 06:14	87	F	97%														ContiConnect	No alerts	None	110.0		117.0	psi	115.0
The Allen Company	Haul Division	DT 890		Truck		4	4LI	C100078	Gen2		11R24.5							2026-09-08 06:14	88	F	98%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 890		Truck		3	3RO	C100079	Gen2		11R24.5							2026-09-08 06:14	89	F	99%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 890		Truck		4	4RI	C100080	Gen2		11R24.5							2026-09-08 06:14	90	F	60%														ContiConnect	No alerts	None	110.0		112.0	psi	110.0
The Allen Company	Haul Division	DT 890		Truck		3	3LI	C100081	Gen2		11R24.5							2026-09-08 06:14	91	F	61%														ContiConnect	No alerts	None	110.0		118.0	psi	116.0
The Allen Company	Haul Division	DT 890		Truck		3	3RI	C100082	Gen2		11R24.5							2026-09-08 06:14	92	F	62%														ContiConnect	No alerts	None	110.0		123.0	psi	121.0
The Allen Company	Haul Division	DT 890		Truck		1	1L	C100083	Gen2		11R24.5							2026-09-08 06:14	93	F	63%														ContiConnect	Sensor loose/flipped	None	110.0			psi	
The Allen Company	Haul Division	DT 881		Truck		4	4LO	C100084	Gen2		11R24.5							2026-09-08 06:14	94	F	64%														ContiConnect	Low pressure	Medium	110.0		97.0	psi	95.0
The Allen Company	Haul Division	DT 881		Truck		2	2L	C100085	Gen2		11R24.5							2026-09-08 06:14	95	F	65%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 881		Truck		4	4RO	C100086	Gen2		11R24.5							2026-09-08 06:14	96	F	66%														ContiConnect	Very low pressure	High	110.0		44.0	psi	42.0
The Allen Company	Haul Division	DT 881		Truck		4	4LI	C100087	Gen2		11R24.5							2026-09-08 06:14	97	F	67%														ContiConnect	Low pressure	Medium	110.0		100.0	psi	98.0
The Allen Company	Haul Division	DT 881		Truck		1	1R	C100088	Gen2		11R24.5							2026-09-08 06:14	98	F	68%														ContiConnect	No alerts	None	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT 881		Truck		1	1L	C100089	Gen2		11R24.5							2026-09-08 06:14	99	F	69%														ContiConnect	No alerts	None	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT 881		Truck		3	3LO	C100090	Gen2		11R24.5							2026-09-08 06:14	70	F	70%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 881		Truck		4	4RI	C100091	Gen2		11R24.5							2026-09-08 06:14	71	F	71%														ContiConnect	No alerts	None	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT 881		Truck		3	3RI	C100092	Gen2		11R24.5							2026-09-08 06:14	72	F	72%														ContiConnect	No alerts	None	110.0		105.0	psi	103.0
The Allen Company	Haul Division	DT 881		Truck		3	3LI	C100093	Gen2		11R24.5							2026-09-08 06:14	73	F	73%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 881		Truck		2	2R	C100094	Gen2		11R24.5							2026-09-08 06:14	74	F	74%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 881		Truck		3	3RO	C100095	Gen2		11R24.5							2026-09-08 06:14	75	F	75%														ContiConnect	Very low pressure	High	110.0		89.0	psi	87.0
The Allen Company	Haul Division	DT 870		Truck		4	4RO	C100096	Gen2		11R24.5							2026-09-08 06:14	76	F	76%														ContiConnect	No alerts	None	110.0		107.0	psi	105.0
The Allen Company	Haul Division	DT 870		Truck		3	3RO	C100097	Gen2		11R24.5							2026-09-08 06:14	77	F	77%														ContiConnect	No alerts	None	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT 870		Truck		4	4LO	C100098	Gen2		11R24.5							2026-09-08 06:14	78	F	78%														ContiConnect	No alerts	None	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT 870		Truck		3	3LI	C100099	Gen2		11R24.5							2026-09-08 06:14	79	F	79%														ContiConnect	No alerts	None	110.0		118.0	psi	116.0
The Allen Company	Haul Division	DT 870		Truck		3	3LO	C100100	Gen2		11R24.5							2026-09-08 06:14	80	F	80%														ContiConnect	No alerts	None	110.0		115.0	psi	113.0
The Allen Company	Haul Division	DT 870		Truck		4	4RI	C100101	Gen2		11R24.5							2026-09-08 06:14	81	F	81%														ContiConnect	Very low pressure	High	110.0		89.0	psi	87.0
The Allen Company	Haul Division	DT 870		Truck		2	2R	C100102	Gen2		11R24.5							2026-09-08 06:14	82	F	82%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 870		Truck		2	2L	C100103	Gen2		11R24.5							2026-09-08 06:14	83	F	83%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 870		Truck		3	3RI	C100104	Gen2		11R24.5							2026-09-08 06:14	84	F	84%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 870		Truck		1	1R	C100105	Gen2		11R24.5							2026-09-08 06:14	85	F	85%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 870		Truck		1	1L	C100106	Gen2		11R24.5							2026-09-08 06:14	86	F	86%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT 870		Truck		4	4LI	C100107	Gen2		11R24.5							2026-09-08 06:14	87	F	87%														ContiConnect	Multiple alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 891		Truck		1	1L	C100108	Gen2		11R24.5							2026-09-08 06:14	88	F	88%														ContiConnect	No alerts	None	110.0		116.0	psi	114.0
The Allen Company	Haul Division	DT 891		Truck		2	2R	C100109	Gen2		11R24.5							2026-09-08 06:14	89	F	89%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 891		Truck		4	4RO	C100110	Gen2		11R24.5							2026-09-08 06:14	90	F	90%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 891		Truck		2	2L	C100111	Gen2		11R24.5							2026-09-08 06:14	91	F	91%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 891		Truck		4	4LI	C100112	Gen2		11R24.5							2026-09-08 06:14	92	F	92%														ContiConnect	Low pressure	Medium	110.0		112.0	psi	110.0
The Allen Company	Haul Division	DT 891		Truck		3	3LI	C100113	Gen2		11R24.5							2026-09-08 06:14	93	F	93%														ContiConnect	Low pressure	Medium	110.0		102.0	psi	100.0
The Allen Company	Haul Division	DT 891		Truck		4	4RI	C100114	Gen2		11R24.5							2026-09-08 06:14	94	F	94%														ContiConnect	Multiple alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 891		Truck		3	3LO	C100115	Gen2		11R24.5							2026-09-08 06:14	95	F	95%														ContiConnect	Very low pressure	High	110.0		91.0	psi	89.0
The Allen Company	Haul Division	DT 891		Truck		1	1R	C100116	Gen2		11R24.5							2026-09-08 06:14	96	F	96%														ContiConnect	No alerts	None	110.0		109.0	psi	107.0
The Allen Company	Haul Division	DT 891		Truck		3	3RI	C100117	Gen2		11R24.5							2026-09-08 06:14	97	F	97%														ContiConnect	Low pressure	Medium	110.0		109.0	psi	107.0
The Allen Company	Haul Division	DT 891		Truck		3	3RO	C100118	Gen2		11R24.5							2026-09-08 06:14	98	F	98%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT 891		Truck		4	4LO	C100119	Gen2		11R24.5							2026-09-08 06:14	99	F	99%														ContiConnect	No alerts	None	110.0		112.0	psi	110.0
The Allen Company	Haul Division	DT-1807		Truck		4	4RI	C100120	Gen2		11R24.5							2026-09-08 06:14	70	F	60%														ContiConnect	No alerts	None	110.0		112.0	psi	110.0
The Allen Company	Haul Division	DT-1807		Truck		2	2RI	C100121	Gen2		11R24.5							2026-09-08 06:14	71	F	61%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1807		Truck		3	3RI	C100122	Gen2		11R24.5							2026-09-08 06:14	72	F	62%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1807		Truck		2	2RO	C100123	Gen2		11R24.5							2026-09-08 06:14	73	F	63%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1807		Truck		3	3LO	C100124	Gen2		11R24.5							2026-09-08 06:14	74	F	64%														ContiConnect	Low pressure	Medium	110.0		97.0	psi	95.0
The Allen Company	Haul Division	DT-1807		Truck		4	4LI	C100125	Gen2		11R24.5							2026-09-08 06:14	75	F	65%														ContiConnect	No alerts	None	110.0		110.0	psi	108.0
The Allen Company	Haul Division	DT-1807		Truck		2	2LO	C100126	Gen2		11R24.5							2026-09-08 06:14	76	F	66%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1807		Truck		1	1R	C100127	Gen2		11R24.5							2026-09-08 06:14	77	F	67%														ContiConnect	Very low pressure	High	110.0		96.0	psi	94.0
The Allen Company	Haul Division	DT-1807		Truck		4	4LO	C100128	Gen2		11R24.5							2026-09-08 06:14	78	F	68%														ContiConnect	Low pressure	Medium	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT-1807		Truck		4	4RO	C100129	Gen2		11R24.5							2026-09-08 06:14	79	F	69%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT-1807		Truck		3	3RO	C100130	Gen2		11R24.5							2026-09-08 06:14	80	F	70%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1807		Truck		1	1L	C100131	Gen2		11R24.5							2026-09-08 06:14	81	F	71%														ContiConnect	Low pressure	Medium	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT-1807		Truck		3	3LI	C100132	Gen2		11R24.5							2026-09-08 06:14	82	F	72%														ContiConnect	No alerts	None	110.0		113.0	psi	111.0
The Allen Company	Haul Division	DT-1807		Truck		2	2LI	C100133	Gen2		11R24.5							2026-09-08 06:14	83	F	73%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1804		Truck		2	2RO	C100134	Gen2		11R24.5							2026-09-08 06:14	84	F	74%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1804		Truck		4	4RO	C100135	Gen2		11R24.5							2026-09-08 06:14	85	F	75%														ContiConnect	Low pressure	Medium	110.0		105.0	psi	103.0
The Allen Company	Haul Division	DT-1804		Truck		3	3RI	C100136	Gen2		11R24.5							2026-09-08 06:14	86	F	76%														ContiConnect	Very low pressure	High	110.0		93.0	psi	91.0
The Allen Company	Haul Division	DT-1804		Truck		2	2LI	C100137	Gen2		11R24.5							2026-09-08 06:14	87	F	77%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1804		Truck		2	2LO	C100138	Gen2		11R24.5							2026-09-08 06:14	88	F	78%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1804		Truck		4	4RI	C100139	Gen2		11R24.5							2026-09-08 06:14	89	F	79%														ContiConnect	Low pressure	Medium	110.0		108.0	psi	106.0
The Allen Company	Haul Division	DT-1804		Truck		1	1R	C100140	Gen2		11R24.5							2026-09-08 06:14	90	F	80%														ContiConnect	No alerts	None	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT-1804		Truck		2	2RI	C100141	Gen2		11R24.5							2026-09-08 06:14	91	F	81%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT-1804		Truck		3	3LO	C100142	Gen2		11R24.5							2026-09-08 06:14	92	F	82%														ContiConnect	Low pressure	Medium	110.0		105.0	psi	103.0
The Allen Company	Haul Division	DT-1804		Truck		3	3RO	C100143	Gen2		11R24.5							2026-09-08 06:14	93	F	83%														ContiConnect	No alerts	None	110.0		111.0	psi	109.0
The Allen Company	Haul Division	DT-1804		Truck		4	4LI	C100144	Gen2		11R24.5							2026-09-08 06:14	94	F	84%														ContiConnect	Low pressure	Medium	110.0		102.0	psi	100.0
The Allen Company	Haul Division	DT-1804		Truck		4	4LO	C100145	Gen2		11R24.5							2026-09-08 06:14	95	F	85%														ContiConnect	Low pressure	Medium	110.0		93.0	psi	91.0
The Allen Company	Haul Division	DT-1804		Truck		3	3LI	C100146	Gen2		11R24.5							2026-09-08 06:14	96	F	86%														ContiConnect	Low pressure	Medium	110.0		103.0	psi	101.0
The Allen Company	Haul Division	DT-1804		Truck		1	1L	C100147	Gen2		11R24.5							2026-09-08 06:14	97	F	87%														ContiConnect	No alerts	None	110.0		106.0	psi	104.0
The Allen Company	Haul Division	DT 874		Truck		2	2RO	C100148	Gen2		11R24.5							2026-09-08 06:14	98	F	88%														ContiConnect	No alerts	None	110.0			psi	
The Allen Company	Haul Division	DT 874		Truck		3	3RI	C100149	Gen2		11R24.5							2026-09-08 06:14	99	F	89%														ContiConnect	Very low pressure	High	110.0		77.0	psi	75.0
The Allen Company	Haul Division	DT 874		Truck		3	3RO	C100150	Gen2		11R24.5							2026-09-08 06:14	70	F	90%														ContiConnect	No alerts	None	110.0		108.0	psi	106.0
The Allen Company	Haul Division	DT 874		Truck		4	4RO	C100151	Gen2		11R24.5							2026-09-08 06:14	71	F	91%														ContiConnect	No alerts	None	110.0		108.0	psi	106.0
